*𐑐𐑮𐑺-𐑢𐑰𐑤	𐑐𐑮𐑺-𐑣𐑢𐑰𐑤
plant	𐑐𐑤𐑭𐑯𐑑	7755
plant-lice	𐑐𐑤𐑭𐑯𐑑-𐑤𐑲𐑕	0
plant-louse	𐑐𐑤𐑭𐑯𐑑-𐑤𐑬𐑕	0
plantagenets	𐑐𐑤𐑨𐑯𐑑𐑨𐑡𐑩𐑯𐑦𐑑𐑕	7
plantain	𐑐𐑤𐑨𐑯𐑑𐑦𐑯	14
plantains	𐑐𐑤𐑨𐑯𐑑𐑦𐑯𐑟	3
plantation	𐑐𐑤𐑨𐑯𐑑𐑱𐑖𐑩𐑯	348
plantations	𐑐𐑤𐑨𐑯𐑑𐑱𐑖𐑩𐑯𐑟	366
planted	𐑐𐑤𐑭𐑯𐑑𐑩𐑛	1074
planter	𐑐𐑤𐑭𐑯𐑑𐑼	58
planters	𐑐𐑤𐑭𐑯𐑑𐑼𐑟	97
planting	𐑐𐑤𐑭𐑯𐑑𐑦𐑙	637
plants	𐑐𐑤𐑭𐑯𐑑𐑕	7182
plaque	𐑐𐑤𐑭𐑒	456
plaques	𐑐𐑤𐑭𐑒𐑕	158
plash	𐑐𐑤𐑨𐑖	5
plashed	𐑐𐑤𐑨𐑖𐑑	1
plashes	𐑐𐑤𐑨𐑖𐑩𐑟	0
plashing	𐑐𐑤𐑨𐑖𐑦𐑙	4
plasm	𐑐𐑤𐑨𐑟𐑩𐑥	14
plasma	𐑐𐑤𐑨𐑟𐑥𐑩	869
plaster	𐑐𐑤𐑭𐑕𐑑𐑼	872
plasterboard	𐑐𐑤𐑭𐑕𐑑𐑼𐑚𐑹𐑛	85
plastered	𐑐𐑤𐑭𐑕𐑑𐑼𐑛	143
plasterer	𐑐𐑤𐑭𐑕𐑑𐑼𐑼	25
plasterers	𐑐𐑤𐑭𐑕𐑑𐑼𐑼𐑟	14
plastering	𐑐𐑤𐑭𐑕𐑑𐑼𐑦𐑙	35
plasters	𐑐𐑤𐑭𐑕𐑑𐑼𐑟	53
plastic	𐑐𐑤𐑨𐑕𐑑𐑦𐑒	4052
plastic-bomb	𐑐𐑤𐑨𐑕𐑑𐑦𐑒-𐑚𐑪𐑥	0
plastic-bombs	𐑐𐑤𐑨𐑕𐑑𐑦𐑒-𐑚𐑪𐑥𐑟	0
plasticine	𐑐𐑤𐑨𐑕𐑑𐑦𐑕𐑰𐑯	45
plasticised	𐑐𐑤𐑨𐑕𐑑𐑦𐑕𐑲𐑟𐑛	5
plasticity	𐑐𐑤𐑨𐑕𐑑𐑦𐑕𐑦𐑑𐑦	45
plastics	𐑐𐑤𐑨𐑕𐑑𐑦𐑒𐑕	459
plate	𐑐𐑤𐑱𐑑	3380
plate-glass	𐑐𐑤𐑱𐑑-𐑜𐑤𐑭𐑕	23
plate-powder	𐑐𐑤𐑱𐑑-𐑐𐑬𐑛𐑼	0
plate-rack	𐑐𐑤𐑱𐑑-𐑮𐑨𐑒	0
plate-racks	𐑐𐑤𐑱𐑑-𐑮𐑨𐑒𐑕	0
plateau	𐑐𐑤𐑨𐑑𐑴	462
plateaus	𐑐𐑤𐑨𐑑𐑴𐑟	28
plateaux	𐑐𐑤𐑨𐑑𐑴𐑟	50
plated	𐑐𐑤𐑱𐑑𐑩𐑛	60
plateful	𐑐𐑤𐑱𐑑𐑓𐑫𐑤	40
platefuls	𐑐𐑤𐑱𐑑𐑓𐑫𐑤𐑟	8
platelayer	𐑐𐑤𐑱𐑑𐑤𐑱𐑼	8
platelayers	𐑐𐑤𐑱𐑑𐑤𐑱𐑼𐑟	6
plates	𐑐𐑤𐑱𐑑𐑕	1835
platform	𐑐𐑤𐑨𐑑𐑓𐑹𐑥	2562
platforms	𐑐𐑤𐑨𐑑𐑓𐑹𐑥𐑟	804
plating	𐑐𐑤𐑱𐑑𐑦𐑙	83
platinum	𐑐𐑤𐑨𐑑𐑦𐑯𐑩𐑥	252
platitude	𐑐𐑤𐑨𐑑𐑦𐑑𐑿𐑛	25
platitudes	𐑐𐑤𐑨𐑑𐑦𐑑𐑿𐑛𐑟	61
platitudinous	𐑐𐑤𐑨𐑑𐑦𐑑𐑿𐑛𐑦𐑯𐑩𐑕	21
platonic	𐑐𐑤𐑩𐑑𐑪𐑯𐑦𐑒	107
platoon	𐑐𐑤𐑩𐑑𐑵𐑯	182
platoons	𐑐𐑤𐑩𐑑𐑵𐑯𐑟	41
platter	𐑐𐑤𐑨𐑑𐑼	101
platters	𐑐𐑤𐑨𐑑𐑼𐑟	42
platypus	𐑐𐑤𐑨𐑑𐑦𐑐𐑫𐑕	28
platypuses	𐑐𐑤𐑨𐑑𐑦𐑐𐑫𐑕𐑩𐑟	0
plaudit	𐑐𐑤𐑷𐑛𐑦𐑑	1
plaudits	𐑐𐑤𐑷𐑛𐑦𐑑𐑕	44
plausibilities	𐑐𐑤𐑷𐑟𐑩𐑚𐑦𐑤𐑦𐑑𐑦𐑟	3
plausibility	𐑐𐑤𐑷𐑟𐑩𐑚𐑦𐑤𐑦𐑑𐑦	137
plausible	𐑐𐑤𐑷𐑟𐑩𐑚𐑩𐑤	810
plausibly	𐑐𐑤𐑷𐑟𐑩𐑚𐑤𐑦	141
play	𐑐𐑤𐑱	19735
play-acting	𐑐𐑤𐑱-𐑨𐑒𐑑𐑦𐑙	26
play-actor	𐑐𐑤𐑱-𐑨𐑒𐑑𐑼	2
play-actors	𐑐𐑤𐑱-𐑨𐑒𐑑𐑼𐑟	0
play-box	𐑐𐑤𐑱-𐑚𐑪𐑒𐑕	0
play-boxes	𐑐𐑤𐑱-𐑚𐑪𐑒𐑕𐑩𐑟	0
play-off	𐑐𐑤𐑱-𐑪𐑓	0
play-offs	𐑐𐑤𐑱-𐑪𐑓𐑕	117
play-reading	𐑐𐑤𐑱-𐑮𐑰𐑛𐑦𐑙	1
play-readings	𐑐𐑤𐑱-𐑮𐑰𐑛𐑦𐑙𐑟	2
playback	𐑐𐑤𐑱𐑚𐑨𐑒	129
playbacks	𐑐𐑤𐑱𐑚𐑨𐑒𐑕	5
playbill	𐑐𐑤𐑱𐑚𐑦𐑤	3
playbills	𐑐𐑤𐑱𐑚𐑦𐑤𐑟	5
playboy	𐑐𐑤𐑱𐑚𐑶	76
playboys	𐑐𐑤𐑱𐑚𐑶𐑟	12
played	𐑐𐑤𐑱𐑛	7922
player	𐑐𐑤𐑱𐑼	5269
player-piano	𐑐𐑤𐑱𐑼-𐑐𐑦𐑨𐑯𐑴	0
player-pianos	𐑐𐑤𐑱𐑼-𐑐𐑦𐑨𐑯𐑴𐑟	0
players	𐑐𐑤𐑱𐑼𐑟	7909
playfellow	𐑐𐑤𐑱𐑓𐑧𐑤𐑴	2
playfellows	𐑐𐑤𐑱𐑓𐑧𐑤𐑴𐑟	0
playful	𐑐𐑤𐑱𐑓𐑩𐑤	203
playfully	𐑐𐑤𐑱𐑓𐑩𐑤𐑦	95
playfulness	𐑐𐑤𐑱𐑓𐑩𐑤𐑯𐑩𐑕	45
playgoer	𐑐𐑤𐑱𐑜𐑴𐑼	2
playgoers	𐑐𐑤𐑱𐑜𐑴𐑼𐑟	4
playground	𐑐𐑤𐑱𐑜𐑮𐑬𐑯𐑛	678
playgrounds	𐑐𐑤𐑱𐑜𐑮𐑬𐑯𐑛𐑟	84
playgroup	𐑐𐑤𐑱𐑜𐑮𐑵𐑐	135
playgroups	𐑐𐑤𐑱𐑜𐑮𐑵𐑐𐑕	48
playhouse	𐑐𐑤𐑱𐑣𐑬𐑕	61
playhouses	𐑐𐑤𐑱𐑣𐑬𐑟𐑩𐑟	4
playing	𐑐𐑤𐑱𐑦𐑙	10042
playing-card	𐑐𐑤𐑱𐑦𐑙-𐑒𐑸𐑛	0
playing-cards	𐑐𐑤𐑱𐑦𐑙-𐑒𐑸𐑛𐑟	5
playing-field	𐑐𐑤𐑱𐑦𐑙-𐑓𐑰𐑤𐑛	8
playing-fields	𐑐𐑤𐑱𐑦𐑙-𐑓𐑰𐑤𐑛𐑟	5
playings	𐑐𐑤𐑱𐑦𐑙𐑟	2
playlet	𐑐𐑤𐑱𐑤𐑩𐑑	5
playlets	𐑐𐑤𐑱𐑤𐑩𐑑𐑕	3
playmate	𐑐𐑤𐑱𐑥𐑱𐑑	37
playmates	𐑐𐑤𐑱𐑥𐑱𐑑𐑕	32
playpen	𐑐𐑤𐑱𐑐𐑧𐑯	22
playpens	𐑐𐑤𐑱𐑐𐑧𐑯𐑟	2
playroom	𐑐𐑤𐑱𐑮𐑵𐑥	74
playrooms	𐑐𐑤𐑱𐑮𐑵𐑥𐑟	3
plays	𐑐𐑤𐑱𐑟	2849
playschool	𐑐𐑤𐑱𐑕𐑒𐑵𐑤	36
playschools	𐑐𐑤𐑱𐑕𐑒𐑵𐑤𐑟	1
playsuit	𐑐𐑤𐑱𐑕𐑵𐑑	1
playsuits	𐑐𐑤𐑱𐑕𐑵𐑑𐑕	1
plaything	𐑐𐑤𐑱𐑔𐑦𐑙	41
playthings	𐑐𐑤𐑱𐑔𐑦𐑙𐑟	32
playtime	𐑐𐑤𐑱𐑑𐑲𐑥	37
playtimes	𐑐𐑤𐑱𐑑𐑲𐑥𐑟	6
playwright	𐑐𐑤𐑱𐑮𐑲𐑑	226
playwrights	𐑐𐑤𐑱𐑮𐑲𐑑𐑕	58
plaza	𐑐𐑤𐑭𐑟𐑩	28
plazas	𐑐𐑤𐑭𐑟𐑩𐑟	5
plc	𐑐𐑰𐑧𐑤𐑕𐑰	1633
plea	𐑐𐑤𐑰	1118
pleach	𐑐𐑤𐑰𐑗	0
pleached	𐑐𐑤𐑰𐑗𐑑	0
pleaches	𐑐𐑤𐑰𐑗𐑩𐑟	0
pleaching	𐑐𐑤𐑰𐑗𐑦𐑙	0
plead	𐑐𐑤𐑰𐑛	353
pleaded	𐑐𐑤𐑰𐑛𐑩𐑛	784
pleading	𐑐𐑤𐑰𐑛𐑦𐑙	387
pleadingly	𐑐𐑤𐑰𐑛𐑦𐑙𐑤𐑦	43
pleadings	𐑐𐑤𐑰𐑛𐑦𐑙𐑟	120
pleads	𐑐𐑤𐑰𐑛𐑟	54
pleas	𐑐𐑤𐑰𐑟	337
pleasance	𐑐𐑤𐑧𐑟𐑩𐑯𐑕	6
pleasances	𐑐𐑤𐑧𐑟𐑩𐑯𐑕𐑩𐑟	0
pleasant	𐑐𐑤𐑧𐑟𐑩𐑯𐑑	2708
pleasanter	𐑐𐑤𐑧𐑟𐑩𐑯𐑑𐑼	41
pleasantest	𐑐𐑤𐑧𐑟𐑩𐑯𐑑𐑩𐑕𐑑	17
pleasantly	𐑐𐑤𐑧𐑟𐑩𐑯𐑑𐑤𐑦	472
pleasantness	𐑐𐑤𐑧𐑟𐑩𐑯𐑑𐑯𐑩𐑕	23
pleasantries	𐑐𐑤𐑧𐑟𐑩𐑯𐑑𐑮𐑦𐑟	68
pleasantry	𐑐𐑤𐑧𐑟𐑩𐑯𐑑𐑮𐑦	12
pleasaunce	𐑐𐑤𐑧𐑟𐑩𐑯𐑕	1
please	𐑐𐑤𐑰𐑟	14351
pleased	𐑐𐑤𐑰𐑟𐑛	3002
pleases	𐑐𐑤𐑰𐑟𐑩𐑟	168
pleasing	𐑐𐑤𐑰𐑟𐑦𐑙	492
pleasingly	𐑐𐑤𐑰𐑟𐑦𐑙𐑤𐑦	43
pleasurable	𐑐𐑤𐑧𐑠𐑼𐑩𐑚𐑩𐑤	270
pleasurably	𐑐𐑤𐑧𐑠𐑼𐑩𐑚𐑤𐑦	21
pleasure	𐑐𐑤𐑧𐑠𐑼	5241
pleasure-boat	𐑐𐑤𐑧𐑠𐑼-𐑚𐑴𐑑	0
pleasure-boats	𐑐𐑤𐑧𐑠𐑼-𐑚𐑴𐑑𐑕	0
pleasure-craft	𐑐𐑤𐑧𐑠𐑼-𐑒𐑮𐑭𐑓𐑑	0
pleasure-crafts	𐑐𐑤𐑧𐑠𐑼-𐑒𐑮𐑭𐑓𐑑𐑕	0
pleasure-ground	𐑐𐑤𐑧𐑠𐑼-𐑜𐑮𐑬𐑯𐑛	0
pleasure-grounds	𐑐𐑤𐑧𐑠𐑼-𐑜𐑮𐑬𐑯𐑛𐑟	0
pleasures	𐑐𐑤𐑧𐑠𐑼𐑟	612
pleat	𐑐𐑤𐑰𐑑	55
pleated	𐑐𐑤𐑰𐑑𐑩𐑛	83
pleating	𐑐𐑤𐑰𐑑𐑦𐑙	7
pleats	𐑐𐑤𐑰𐑑𐑕	127
pleb	𐑐𐑤𐑧𐑚	2
plebeian	𐑐𐑤𐑦𐑚𐑾𐑯	31
plebeians	𐑐𐑤𐑦𐑚𐑾𐑯𐑟	17
plebiscite	𐑐𐑤𐑧𐑚𐑦𐑕𐑲𐑑	54
plebiscites	𐑐𐑤𐑧𐑚𐑦𐑕𐑲𐑑𐑕	7
plebs	𐑐𐑤𐑧𐑚𐑟	28
plectrum	𐑐𐑤𐑧𐑒𐑑𐑮𐑩𐑥	21
plectrums	𐑐𐑤𐑧𐑒𐑑𐑮𐑩𐑥𐑟	5
pled	𐑐𐑤𐑧𐑛	29
pledge	𐑐𐑤𐑧𐑡	539
pledged	𐑐𐑤𐑧𐑡𐑛	625
pledges	𐑐𐑤𐑧𐑡𐑩𐑟	202
pledging	𐑐𐑤𐑧𐑡𐑦𐑙	78
pleistocene	𐑐𐑤𐑲𐑕𐑑𐑴𐑕𐑰𐑯	126
plenarily	𐑐𐑤𐑰𐑯𐑼𐑩𐑤𐑦	0
plenary	𐑐𐑤𐑰𐑯𐑼𐑦	76
plenipotentiaries	𐑐𐑤𐑧𐑯𐑦𐑐𐑩𐑑𐑧𐑯𐑖𐑼𐑦𐑟	5
plenipotentiary	𐑐𐑤𐑧𐑯𐑦𐑐𐑩𐑑𐑧𐑯𐑖𐑼𐑦	15
plenitude	𐑐𐑤𐑧𐑯𐑦𐑑𐑿𐑛	24
plenteous	𐑐𐑤𐑧𐑯𐑑𐑾𐑕	9
plenteously	𐑐𐑤𐑧𐑯𐑑𐑾𐑕𐑤𐑦	3
plentiful	𐑐𐑤𐑧𐑯𐑑𐑦𐑓𐑩𐑤	417
plentifully	𐑐𐑤𐑧𐑯𐑑𐑦𐑓𐑩𐑤𐑦	18
plenty	𐑐𐑤𐑧𐑯𐑑𐑦	4917
pleonasm	𐑐𐑤𐑾𐑯𐑨𐑟𐑩𐑥	8
pleonasms	𐑐𐑤𐑾𐑯𐑨𐑟𐑩𐑥𐑟	0
plethora	𐑐𐑤𐑧𐑔𐑼𐑩	206
plethoras	𐑐𐑤𐑧𐑔𐑼𐑩𐑟	0
pleurisy	𐑐𐑤𐑫𐑼𐑩𐑕𐑦	5
plexus	𐑐𐑤𐑧𐑒𐑕𐑩𐑕	66
plexuses	𐑐𐑤𐑧𐑒𐑕𐑩𐑕𐑩𐑟	13
pliability	𐑐𐑤𐑲𐑩𐑚𐑦𐑤𐑦𐑑𐑦	2
pliable	𐑐𐑤𐑲𐑩𐑚𐑩𐑤	64
pliancy	𐑐𐑤𐑲𐑩𐑯𐑕𐑦	2
pliant	𐑐𐑤𐑲𐑩𐑯𐑑	20
pliantly	𐑐𐑤𐑲𐑩𐑯𐑑𐑤𐑦	1
plied	𐑐𐑤𐑲𐑛	76
pliers	𐑐𐑤𐑲𐑼𐑟	72
plies	𐑐𐑤𐑲𐑟	18
plight	𐑐𐑤𐑲𐑑	720
plighted	𐑐𐑤𐑲𐑑𐑩𐑛	4
plighting	𐑐𐑤𐑲𐑑𐑦𐑙	1
plights	𐑐𐑤𐑲𐑑𐑕	0
plimsoll	𐑐𐑤𐑦𐑥𐑕𐑩𐑤	18
plimsolls	𐑐𐑤𐑦𐑥𐑕𐑩𐑤𐑟	34
plinth	𐑐𐑤𐑦𐑯𐑔	153
plinths	𐑐𐑤𐑦𐑯𐑔𐑕	20
plod	𐑐𐑤𐑪𐑛	34
plodded	𐑐𐑤𐑪𐑛𐑩𐑛	68
plodder	𐑐𐑤𐑪𐑛𐑼	6
plodders	𐑐𐑤𐑪𐑛𐑼𐑟	1
plodding	𐑐𐑤𐑪𐑛𐑦𐑙	75
ploddingly	𐑐𐑤𐑪𐑛𐑦𐑙𐑤𐑦	2
plods	𐑐𐑤𐑪𐑛𐑟	4
plonk	𐑐𐑤𐑪𐑙𐑒	45
plonked	𐑐𐑤𐑪𐑙𐑒𐑑	33
plonking	𐑐𐑤𐑪𐑙𐑒𐑦𐑙	16
plonks	𐑐𐑤𐑪𐑙𐑒𐑕	3
plop	𐑐𐑤𐑪𐑐	37
plopped	𐑐𐑤𐑪𐑐𐑑	16
plopping	𐑐𐑤𐑪𐑐𐑦𐑙	7
plops	𐑐𐑤𐑪𐑐𐑕	2
plosive	𐑐𐑤𐑴𐑕𐑦𐑝	19
plosives	𐑐𐑤𐑴𐑕𐑦𐑝𐑟	11
plot	𐑐𐑤𐑪𐑑	1836
plots	𐑐𐑤𐑪𐑑𐑕	477
plotted	𐑐𐑤𐑪𐑑𐑩𐑛	300
plotter	𐑐𐑤𐑪𐑑𐑼	71
plotters	𐑐𐑤𐑪𐑑𐑼𐑟	65
plotting	𐑐𐑤𐑪𐑑𐑦𐑙	325
plough	𐑐𐑤𐑬	425
ploughboy	𐑐𐑤𐑬𐑚𐑶	4
ploughboys	𐑐𐑤𐑬𐑚𐑶𐑟	1
ploughed	𐑐𐑤𐑬𐑛	310
ploughing	𐑐𐑤𐑬𐑦𐑙	167
ploughman	𐑐𐑤𐑬𐑥𐑩𐑯	65
ploughmen	𐑐𐑤𐑬𐑥𐑧𐑯	18
ploughs	𐑐𐑤𐑬𐑟	73
ploughshare	𐑐𐑤𐑬𐑖𐑺	10
ploughshares	𐑐𐑤𐑬𐑖𐑺𐑟	13
plover	𐑐𐑤𐑳𐑝𐑼	91
plovers	𐑐𐑤𐑳𐑝𐑼𐑟	33
ploy	𐑐𐑤𐑶	296
ploys	𐑐𐑤𐑶𐑟	58
pluck	𐑐𐑤𐑳𐑒	156
plucked	𐑐𐑤𐑳𐑒𐑑	323
pluckier	𐑐𐑤𐑳𐑒𐑦𐑼	0
pluckiest	𐑐𐑤𐑳𐑒𐑦𐑩𐑕𐑑	1
pluckily	𐑐𐑤𐑳𐑒𐑦𐑤𐑦	2
plucking	𐑐𐑤𐑳𐑒𐑦𐑙	83
plucks	𐑐𐑤𐑳𐑒𐑕	14
plucky	𐑐𐑤𐑳𐑒𐑦	60
plug	𐑐𐑤𐑳𐑜	808
plugged	𐑐𐑤𐑳𐑜𐑛	200
plugging	𐑐𐑤𐑳𐑜𐑦𐑙	104
plughole	𐑐𐑤𐑳𐑜𐑣𐑴𐑤	26
plugholes	𐑐𐑤𐑳𐑜𐑣𐑴𐑤𐑟	1
plugs	𐑐𐑤𐑳𐑜𐑟	200
plum	𐑐𐑤𐑳𐑥	280
plum-pudding	𐑐𐑤𐑳𐑥-𐑐𐑫𐑛𐑦𐑙	0
plum-puddings	𐑐𐑤𐑳𐑥-𐑐𐑫𐑛𐑦𐑙𐑟	0
plumage	𐑐𐑤𐑵𐑥𐑦𐑡	263
plumb	𐑐𐑤𐑳𐑥	53
plumbago	𐑐𐑤𐑳𐑥𐑚𐑱𐑜𐑴	7
plumbagos	𐑐𐑤𐑳𐑥𐑚𐑱𐑜𐑴𐑟	0
plumbed	𐑐𐑤𐑳𐑥𐑛	35
plumber	𐑐𐑤𐑳𐑥𐑼	213
plumbers	𐑐𐑤𐑳𐑥𐑼𐑟	88
plumbing	𐑐𐑤𐑳𐑥𐑦𐑙	252
plumbs	𐑐𐑤𐑳𐑥𐑟	8
plume	𐑐𐑤𐑵𐑥	128
plumed	𐑐𐑤𐑵𐑥𐑛	33
plumes	𐑐𐑤𐑵𐑥𐑟	118
pluming	𐑐𐑤𐑵𐑥𐑦𐑙	5
plummet	𐑐𐑤𐑳𐑥𐑩𐑑	65
plummets	𐑐𐑤𐑳𐑥𐑩𐑑𐑕	13
plummetted	𐑐𐑤𐑳𐑥𐑩𐑑𐑩𐑛	1
plummetting	𐑐𐑤𐑳𐑥𐑩𐑑𐑦𐑙	0
plummier	𐑐𐑤𐑳𐑥𐑦𐑼	0
plummiest	𐑐𐑤𐑳𐑥𐑦𐑩𐑕𐑑	0
plummy	𐑐𐑤𐑳𐑥𐑦	12
plump	𐑐𐑤𐑳𐑥𐑐	505
plumped	𐑐𐑤𐑳𐑥𐑐𐑑	67
plumper	𐑐𐑤𐑳𐑥𐑐𐑼	12
plumpest	𐑐𐑤𐑳𐑥𐑐𐑩𐑕𐑑	2
plumping	𐑐𐑤𐑳𐑥𐑐𐑦𐑙	13
plumps	𐑐𐑤𐑳𐑥𐑐𐑕	4
plums	𐑐𐑤𐑳𐑥𐑟	138
plunder	𐑐𐑤𐑳𐑯𐑛𐑼	106
plundered	𐑐𐑤𐑳𐑯𐑛𐑼𐑛	105
plunderer	𐑐𐑤𐑳𐑯𐑛𐑼𐑼	4
plunderers	𐑐𐑤𐑳𐑯𐑛𐑼𐑼𐑟	5
plundering	𐑐𐑤𐑳𐑯𐑛𐑼𐑦𐑙	45
plunders	𐑐𐑤𐑳𐑯𐑛𐑼𐑟	6
plunge	𐑐𐑤𐑳𐑯𐑡	484
plunged	𐑐𐑤𐑳𐑯𐑡𐑛	579
plunger	𐑐𐑤𐑳𐑯𐑡𐑼	0
plungers	𐑐𐑤𐑳𐑯𐑡𐑼𐑟	1
plunges	𐑐𐑤𐑳𐑯𐑡𐑩𐑟	42
plunging	𐑐𐑤𐑳𐑯𐑡𐑦𐑙	237
plunk	𐑐𐑤𐑳𐑙𐑒	0
plunks	𐑐𐑤𐑳𐑙𐑒𐑕	1
pluperfect	𐑐𐑤𐑵𐑐𐑻𐑓𐑦𐑒𐑑	2
pluperfects	𐑐𐑤𐑵𐑐𐑻𐑓𐑦𐑒𐑑𐑕	0
plural	𐑐𐑤𐑫𐑼𐑩𐑤	193
pluralism	𐑐𐑤𐑫𐑼𐑩𐑤𐑦𐑟𐑩𐑥	368
pluralist	𐑐𐑤𐑫𐑼𐑩𐑤𐑦𐑕𐑑	115
pluralists	𐑐𐑤𐑫𐑼𐑩𐑤𐑦𐑕𐑑𐑕	98
pluralities	𐑐𐑤𐑫𐑼𐑨𐑤𐑦𐑑𐑦𐑟	5
plurality	𐑐𐑤𐑫𐑼𐑨𐑤𐑦𐑑𐑦	183
plurals	𐑐𐑤𐑫𐑼𐑩𐑤𐑟	24
plus	𐑐𐑤𐑳𐑕	7852
plus-fours	𐑐𐑤𐑳𐑕-𐑓𐑹𐑟	16
pluses	𐑐𐑤𐑳𐑕𐑩𐑟	49
plush	𐑐𐑤𐑳𐑖	89
plusher	𐑐𐑤𐑳𐑖𐑼	2
plushest	𐑐𐑤𐑳𐑖𐑩𐑕𐑑	1
plushier	𐑐𐑤𐑳𐑖𐑦𐑼	0
plushiest	𐑐𐑤𐑳𐑖𐑦𐑩𐑕𐑑	0
plushy	𐑐𐑤𐑳𐑖𐑦	5
pluto	𐑐𐑤𐑵𐑑𐑴	65
plutocracies	𐑐𐑤𐑵𐑑𐑪𐑒𐑮𐑩𐑕𐑦𐑟	0
plutocracy	𐑐𐑤𐑵𐑑𐑪𐑒𐑮𐑩𐑕𐑦	8
plutocrat	𐑐𐑤𐑵𐑑𐑴𐑒𐑮𐑨𐑑	0
plutocratic	𐑐𐑤𐑵𐑑𐑴𐑒𐑮𐑨𐑑𐑦𐑒	3
plutocrats	𐑐𐑤𐑵𐑑𐑴𐑒𐑮𐑨𐑑𐑕	8
plutonium	𐑐𐑤𐑵𐑑𐑴𐑯𐑾𐑥	430
plutos	𐑐𐑤𐑵𐑑𐑴𐑟	0
ply	𐑐𐑤𐑲	105
plying	𐑐𐑤𐑲𐑦𐑙	62
plymouth	𐑐𐑤𐑦𐑥𐑩𐑔	794
plywood	𐑐𐑤𐑲𐑢𐑫𐑛	160
pm	𐑐𐑰𐑧𐑥	1061
pneumatic	𐑯𐑿𐑥𐑨𐑑𐑦𐑒	98
pneumatically	𐑯𐑿𐑥𐑨𐑑𐑦𐑒𐑤𐑦	2
pneumonia	𐑯𐑿𐑥𐑴𐑯𐑾	427
po	𐑐𐑰𐑴	403
poach	𐑐𐑴𐑗	59
poached	𐑐𐑴𐑗𐑑	113
poacher	𐑐𐑴𐑗𐑼	68
poachers	𐑐𐑴𐑗𐑼𐑟	141
poaches	𐑐𐑴𐑗𐑩𐑟	2
poaching	𐑐𐑴𐑗𐑦𐑙	62
pock	𐑐𐑪𐑒	3
pocked	𐑐𐑪𐑒𐑑	5
pocket	𐑐𐑪𐑒𐑩𐑑	3536
pocket-book	𐑐𐑪𐑒𐑩𐑑-𐑚𐑫𐑒	3
pocket-books	𐑐𐑪𐑒𐑩𐑑-𐑚𐑫𐑒𐑕	2
pocket-handkerchief	𐑐𐑪𐑒𐑩𐑑-𐑣𐑨𐑙𐑒𐑼𐑗𐑦𐑓	2
pocket-handkerchiefs	𐑐𐑪𐑒𐑩𐑑-𐑣𐑨𐑙𐑒𐑼𐑗𐑦𐑓𐑕	0
pocket-knife	𐑐𐑪𐑒𐑩𐑑-𐑯𐑲𐑓	0
pocket-knives	𐑐𐑪𐑒𐑩𐑑-𐑯𐑲𐑝𐑟	1
pocket-money	𐑐𐑪𐑒𐑩𐑑-𐑥𐑳𐑯𐑦	11
pocketed	𐑐𐑪𐑒𐑩𐑑𐑩𐑛	119
pocketful	𐑐𐑪𐑒𐑩𐑑𐑓𐑫𐑤	14
pocketfuls	𐑐𐑪𐑒𐑩𐑑𐑓𐑫𐑤𐑟	2
pocketing	𐑐𐑪𐑒𐑩𐑑𐑦𐑙	32
pockets	𐑐𐑪𐑒𐑩𐑑𐑕	1625
pockmarked	𐑐𐑪𐑒𐑥𐑸𐑒𐑑	9
pocks	𐑐𐑪𐑒𐑕	0
pod	𐑐𐑪𐑛	180
podded	𐑐𐑪𐑛𐑩𐑛	0
podding	𐑐𐑪𐑛𐑦𐑙	2
podgier	𐑐𐑪𐑡𐑦𐑼	0
podgiest	𐑐𐑪𐑡𐑦𐑩𐑕𐑑	0
podgy	𐑐𐑪𐑡𐑦	36
podiatry	𐑐𐑩𐑛𐑲𐑩𐑑𐑮𐑦	3
podium	𐑐𐑴𐑛𐑾𐑥	116
podiums	𐑐𐑴𐑛𐑾𐑥𐑟	2
pods	𐑐𐑪𐑛𐑟	82
poe	𐑐𐑴	66
poem	𐑐𐑴𐑩𐑥	2342
poems	𐑐𐑴𐑩𐑥𐑟	1607
poesy	𐑐𐑴𐑩𐑟𐑦	2
poet	𐑐𐑴𐑩𐑑	2217
poetess	𐑐𐑴𐑩𐑑𐑧𐑕	17
poetesses	𐑐𐑴𐑩𐑑𐑧𐑕𐑩𐑟	2
poetic	𐑐𐑴𐑧𐑑𐑦𐑒	691
poetical	𐑐𐑴𐑧𐑑𐑦𐑒𐑩𐑤	57
poetically	𐑐𐑴𐑧𐑑𐑦𐑒𐑤𐑦	36
poetry	𐑐𐑴𐑩𐑑𐑮𐑦	2702
poets	𐑐𐑴𐑩𐑑𐑕	936
pogrom	𐑐𐑪𐑜𐑮𐑩𐑥	30
pogroms	𐑐𐑪𐑜𐑮𐑩𐑥𐑟	25
poignancy	𐑐𐑶𐑯𐑘𐑩𐑯𐑕𐑦	61
poignant	𐑐𐑶𐑯𐑘𐑩𐑯𐑑	275
poignantly	𐑐𐑶𐑯𐑘𐑩𐑯𐑑𐑤𐑦	55
poinsettia	𐑐𐑶𐑯𐑕𐑧𐑑𐑾	9
poinsettias	𐑐𐑶𐑯𐑕𐑧𐑑𐑾𐑟	15
point	𐑐𐑶𐑯𐑑	38426
point-blank	𐑐𐑶𐑯𐑑-𐑚𐑤𐑨𐑙𐑒	61
